Country Name,Country Code,Indicator Name,Indicator Code,2020
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Africa Eastern and Southern,AFE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.795419908
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.223478872
Africa Western and Central,AFW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.463150273
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.592742968
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.544550115
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.777147992
Arab World,ARB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.929077744
United Arab Emirates,ARE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,20.25227168
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.40561754
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.404683762
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.121730122
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,14.7726576
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.632645737
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.398849573
Burundi,BDI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.058384022
Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.398130658
Benin,BEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.631204806
Burkina Faso,BFA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.253533189
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.510647559
Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.923280379
Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,21.97690781
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.042251477
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.312305874
Belarus,BLR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.842407296
Belize,BLZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.741107715
Bermuda,BMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Bolivia,BOL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.539464696
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.942523356
Barbados,BRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.904871158
Brunei Darussalam,BRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,21.70581244
Bhutan,BTN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.340054317
Botswana,BWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.263463114
Central African Republic,CAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.044282073
Canada,CAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,13.59937492
Central Europe and the Baltics,CEB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.85720585
Switzerland,CHE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.042072815
Channel Islands,CHI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Chile,CHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.395151064
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.756137907
Cote d'Ivoire,CIV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.406347357
Cameroon,CMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.374782658
"Congo, Dem. Rep.",COD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.032584781
"Congo, Rep.",COG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.25459167
Colombia,COL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.552259423
Comoros,COM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.407112183
Cabo Verde,CPV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.065151723
Costa Rica,CRI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.35999555
Caribbean small states,CSS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.402687901
Cuba,CUB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.152769678
Curacao,CUW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Cayman Islands,CYM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.471998009
Czechia,CZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.304017496
Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.255221028
Djibouti,DJI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.392329171
Dominica,DMA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.261268144
Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.691237308
